epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8544,1.64399,1.39152,1.54794,0.86769,0.6268,0.66496,0.32773,1.90407,1.51801,1.85399,0.000413333,0.000413333,0.000413333
2,106.697,1.6579,1.35438,1.5752,0.55787,0.64873,0.64107,0.29476,1.94557,1.56693,1.89767,0.00080261,0.00080261,0.00080261
3,158.392,1.69988,1.3131,1.59821,0.68211,0.73317,0.75316,0.33107,1.93715,1.34164,1.88225,0.00116439,0.00116439,0.00116439
4,208.352,1.72418,1.27353,1.61078,0.80318,0.68755,0.76438,0.32074,1.96267,1.32509,1.88532,0.00112625,0.00112625,0.00112625
5,258.487,1.71527,1.23373,1.6128,0.77211,0.74022,0.80666,0.35432,1.87952,1.19924,1.86437,0.001085,0.001085,0.001085
6,307.694,1.70756,1.21561,1.59016,0.82294,0.72849,0.85212,0.37784,1.9082,1.12432,1.86035,0.00104375,0.00104375,0.00104375
7,357.063,1.69228,1.20623,1.59239,0.75078,0.77331,0.8413,0.40038,1.84001,1.04804,1.82125,0.0010025,0.0010025,0.0010025
8,405.432,1.66914,1.16804,1.57967,0.79215,0.76689,0.81389,0.37116,1.85018,1.10144,1.86443,0.00096125,0.00096125,0.00096125
9,455.911,1.64533,1.12339,1.55266,0.84968,0.76379,0.88091,0.42465,1.81382,1.02819,1.78089,0.00092,0.00092,0.00092
10,504.967,1.63805,1.10908,1.54533,0.81373,0.78456,0.8499,0.40698,1.87591,1.05244,1.82085,0.00087875,0.00087875,0.00087875
11,553.847,1.63491,1.09228,1.53481,0.85378,0.84919,0.89307,0.44793,1.77008,0.96782,1.73044,0.0008375,0.0008375,0.0008375
12,603.317,1.6186,1.07704,1.5273,0.81661,0.86797,0.88226,0.43599,1.79965,0.96437,1.77511,0.00079625,0.00079625,0.00079625
13,651.259,1.61747,1.04965,1.52259,0.83867,0.82837,0.8938,0.44268,1.80635,0.95749,1.74994,0.000755,0.000755,0.000755
14,700.985,1.62477,1.05735,1.52307,0.84291,0.80683,0.87765,0.43496,1.82187,0.96625,1.74657,0.00071375,0.00071375,0.00071375
15,750.212,1.57022,1.03479,1.49095,0.8341,0.85742,0.90272,0.45381,1.8006,0.94212,1.73081,0.0006725,0.0006725,0.0006725
16,798.929,1.5745,1.00566,1.50781,0.85532,0.83827,0.90848,0.45879,1.80739,0.93351,1.73813,0.00063125,0.00063125,0.00063125
17,848.04,1.5696,0.98792,1.4995,0.8443,0.84799,0.90373,0.45922,1.7981,0.94324,1.76804,0.00059,0.00059,0.00059
18,896.853,1.56093,0.9523,1.48637,0.86442,0.84491,0.90555,0.46868,1.78551,0.9188,1.7206,0.00054875,0.00054875,0.00054875
19,946.618,1.54681,0.97522,1.47299,0.88084,0.8213,0.90995,0.4727,1.76513,0.87903,1.73239,0.0005075,0.0005075,0.0005075
20,995.705,1.50612,0.94123,1.46106,0.88161,0.85211,0.92682,0.46313,1.77891,0.87075,1.7324,0.00046625,0.00046625,0.00046625
21,1043.86,1.54783,0.88363,1.52098,0.86755,0.85893,0.91265,0.45772,1.8033,0.88632,1.73726,0.000425,0.000425,0.000425
22,1089.42,1.51627,0.81616,1.50882,0.89358,0.85846,0.91598,0.46974,1.75902,0.82894,1.72958,0.00038375,0.00038375,0.00038375
23,1134.17,1.4991,0.80231,1.48632,0.86419,0.83412,0.90814,0.47458,1.76936,0.8369,1.74527,0.0003425,0.0003425,0.0003425
24,1179.69,1.48802,0.77393,1.48097,0.89035,0.83862,0.91112,0.45916,1.79254,0.83695,1.76208,0.00030125,0.00030125,0.00030125
25,1223.39,1.47357,0.76658,1.47395,0.89965,0.84766,0.91924,0.4744,1.77852,0.82697,1.7461,0.00026,0.00026,0.00026
26,1267.04,1.45792,0.74721,1.45783,0.86983,0.87082,0.91411,0.47162,1.78073,0.82218,1.74665,0.00021875,0.00021875,0.00021875
27,1310.92,1.43939,0.75336,1.45825,0.90173,0.87035,0.91986,0.48145,1.7666,0.80402,1.73232,0.0001775,0.0001775,0.0001775
28,1355.49,1.43781,0.74963,1.44598,0.88885,0.85317,0.91257,0.46519,1.7837,0.8203,1.74869,0.00013625,0.00013625,0.00013625
29,1402.93,1.40769,0.7197,1.43047,0.90725,0.86753,0.92429,0.47406,1.77614,0.80963,1.74393,9.5e-05,9.5e-05,9.5e-05
30,1450.18,1.41116,0.71678,1.43045,0.86661,0.89219,0.91725,0.47398,1.7711,0.80547,1.74227,5.375e-05,5.375e-05,5.375e-05
